embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47,embedding_48,embedding_49,embedding_50,embedding_51,embedding_52,embedding_53,embedding_54,embedding_55,embedding_56,embedding_57,embedding_58,embedding_59,embedding_60,embedding_61,embedding_62,embedding_63,embedding_64,embedding_65,embedding_66,embedding_67,embedding_68,embedding_69,embedding_70,embedding_71,embedding_72,embedding_73,embedding_74,embedding_75,embedding_76,embedding_77,embedding_78,embedding_79,embedding_80,embedding_81,embedding_82,embedding_83,embedding_84,embedding_85,embedding_86,embedding_87,embedding_88,embedding_89,embedding_90,embedding_91,embedding_92,embedding_93,embedding_94,embedding_95,embedding_96,embedding_97,embedding_98,embedding_99
-0.025834877,0.1565369,0.2852582,-0.16151167,-0.07020997,0.3333298,-0.12414309,0.25514913,-0.045847654,0.10696995,0.014668431,0.037628256,0.23791924,0.17411025,0.17072804,-0.19766846,0.13847049,0.057504337,-0.2744371,0.095126495,0.16258201,-0.020941751,0.22359423,0.02343259,0.25692797,-0.014114715,-0.26493126,-0.5574606,0.001821412,-0.19691783,-0.037496578,0.4085042,-0.014172932,-0.013499299,-0.032781255,0.2929804,-0.041263998,0.1851562,-0.053485937,-0.09795604,-0.37231234,-0.21139123,0.10146526,-0.2632564,-0.07518478,-0.008648267,0.17227718,-0.18636683,0.07178083,-0.6422593,-0.011817153,-0.06561765,0.2880129,1.0429887,-0.28413603,-2.1237862,0.041256033,-0.20538172,1.2330955,0.44502917,-0.07032339,0.80712247,-0.26269835,0.14126293,0.5800142,-0.11860332,0.5190725,0.20818706,0.08723292,-0.15094256,-0.080902845,-0.1721166,0.020887889,-0.28607792,0.13725197,0.18013258,-0.18755838,-0.07271598,-0.6880748,-0.09228395,0.3642579,0.08837338,-0.31561857,0.1520508,-1.2744762,-0.32134628,0.06374247,-0.09520157,-0.2217624,-0.32290596,-0.062172104,-0.15812823,0.010155406,0.098480046,-0.46072733,-0.038682822,-0.29972118,-0.28500727,0.3901506,0.23813505
0.020636497,0.13498387,0.2787759,-0.11214679,0.04757268,0.27001554,-0.106058076,0.1255841,-0.09212048,0.10650341,0.051784594,0.07914283,0.25402504,0.104962006,0.13373435,-0.19606394,0.16994342,0.09291814,-0.314278,0.25009832,0.17738329,-0.122879505,0.21094206,-0.079908445,0.1475994,-0.027283968,-0.08147255,-0.40516752,-0.008821123,-0.18594177,-0.008888723,0.3263016,-0.07009991,-0.0052073663,-0.00050473376,0.24309957,0.027657928,0.19318847,-0.08124887,-0.12283876,-0.37819654,-0.0904522,0.13269386,-0.22550865,-0.06264007,-0.070325166,0.22803178,-0.2636821,-0.011775646,-0.57866305,0.04157252,-0.020265445,0.26504827,0.9323811,-0.18531187,-1.9476545,0.04172965,-0.22845466,1.1557003,0.37008727,-0.117093876,0.6596936,-0.1886502,0.13828738,0.6478863,-0.1461923,0.5109907,0.184991,0.1439639,-0.24159937,-0.042721316,-0.21137117,-0.05794819,-0.22560787,0.12837557,0.16363485,-0.07023958,-0.0442907,-0.7678418,-0.043495633,0.39497897,0.08964578,-0.2932611,0.14182381,-1.2917502,-0.26182136,0.044114135,-0.091877535,-0.15926372,-0.35529906,-0.07925085,-0.22062546,-0.01487739,0.10136017,-0.40345806,-0.07440598,-0.38622445,-0.3910685,0.33188197,0.2176349
-0.0057905638,0.12859239,0.32142437,-0.16233799,-0.015460435,0.22642396,-0.18932113,0.12894692,-0.122118704,0.07622782,0.0076072714,0.14421268,0.25374365,0.039406385,0.13478355,-0.30194005,0.22069141,0.060645357,-0.3665857,0.19046906,0.19264057,-0.062737435,0.21225373,0.052971188,0.23162873,-0.07949952,-0.17068172,-0.50900143,0.16073933,-0.1570822,-0.05174866,0.44443032,-0.047093853,0.0700224,-0.09519837,0.30035385,0.027253825,0.2430112,-0.1125641,-0.07550173,-0.506261,-0.184568,0.18127522,-0.34875005,-0.07387662,-0.009392007,0.26978466,-0.24606274,0.06380484,-0.6791431,0.008345759,-0.060579844,0.24139234,1.1648598,-0.1160004,-2.356871,-0.0331537,-0.3100406,1.365334,0.46685943,-0.07613516,0.759098,-0.19454794,0.1465887,0.6584879,-0.063385405,0.46757984,0.28368893,0.1194498,-0.20966631,-0.002598523,-0.26621234,-0.11764405,-0.34430772,0.15211716,0.088283196,-0.20685431,-0.0770031,-0.8701188,0.0107508935,0.51431656,0.20555463,-0.3873645,0.17350928,-1.3748126,-0.2758378,0.136847,-0.047957104,-0.22567843,-0.41064918,-0.04937044,-0.14994426,-0.063872404,0.122912705,-0.4566572,-0.11346109,-0.24343823,-0.29524788,0.4171609,0.19205374
-0.028839583,0.17476341,0.36281335,-0.22600542,-0.16472684,0.20700337,-0.11589846,0.14500844,-0.005874823,-0.02777444,0.08614968,0.12167702,0.2763815,0.063267395,0.19013745,-0.3218896,0.11333065,0.18124323,-0.41259873,0.2495135,0.22589324,0.03986259,0.19988632,-0.08988346,0.18021947,0.021353977,-0.17019568,-0.58081794,0.104164004,-0.13264129,-0.038010467,0.50710255,-0.004284586,0.10730155,0.004108924,0.26095733,-0.022558922,0.27656412,0.07138486,-0.18657085,-0.43756637,-0.19323948,0.1743788,-0.39092603,-0.15094604,-0.02353123,0.2458963,-0.25103524,-0.004288831,-0.72296,0.047663793,-0.10181758,0.22194798,1.0755775,-0.20295298,-2.3112128,0.0046346528,-0.15968905,1.2770543,0.52563494,-0.0089151785,0.8037899,-0.28286868,0.13616785,0.6733793,-0.040522333,0.5464548,0.30290338,0.07898334,-0.08209253,-0.0003694317,-0.25639147,-0.07131337,-0.32234663,0.21656413,0.14009339,-0.09440426,-0.019414816,-0.7714384,-0.049245153,0.47207776,0.029006913,-0.46165466,0.10316284,-1.374413,-0.3156397,0.09429879,-0.110847995,-0.2973134,-0.41206884,0.009789539,-0.23510155,0.0074689924,0.09019411,-0.4530732,-0.009568947,-0.2580956,-0.36361,0.33263525,0.28793263
-0.096801125,0.22228393,0.32734895,-0.22110339,-0.106509864,0.29489842,-0.20968117,0.16056499,-0.124683134,-0.020057479,0.019641986,0.06262695,0.27878422,0.061790384,0.12315375,-0.26318443,0.15656006,0.08355366,-0.3919812,0.32788268,0.23270136,0.04677211,0.17714864,-0.12493719,0.23743957,0.009984815,-0.17070636,-0.504869,0.11516069,-0.16220127,-0.06808441,0.43975568,0.036877956,0.048021935,-0.022632338,0.32118267,-0.0145716,0.26999485,0.09702269,-0.17252496,-0.4177457,-0.16971037,0.19146137,-0.4052874,-0.1505622,0.039094903,0.21455312,-0.23729105,-0.011960628,-0.6512426,-0.0009329202,-0.09667116,0.2346328,0.9824134,-0.2535638,-2.1643243,0.017462522,-0.14324112,1.207374,0.39036706,-0.04177292,0.7660505,-0.30845112,0.07637459,0.6253665,0.001503996,0.57925934,0.35406685,0.079556555,-0.19067131,0.015162537,-0.24383584,-0.060106643,-0.3953038,0.16215414,0.07607996,-0.092096865,-0.040662073,-0.70948863,-0.08158332,0.5286101,0.06986262,-0.38929933,0.12462199,-1.2741373,-0.22481698,-0.06668071,-0.15496089,-0.15248404,-0.41636074,0.018968144,-0.1867697,-0.052977983,0.07573545,-0.4902113,-0.096222095,-0.27576935,-0.37074998,0.30660093,0.24711834
-0.050979346,0.13093953,0.342546,-0.17839675,-0.06508582,0.23843658,-0.079259306,0.14433716,-0.03842242,0.07420055,0.08466951,0.08896268,0.2532923,0.03726848,0.1583874,-0.28802237,0.18412548,0.15018368,-0.36437482,0.18077366,0.26812994,-0.0774671,0.23316213,-0.051167518,0.24577609,-0.06757258,-0.20081264,-0.49023554,0.05184211,-0.18973945,-0.07584829,0.459225,-0.050374363,0.05292067,-0.030371835,0.29420885,-0.008056232,0.17517325,-0.039355613,-0.15944453,-0.41756263,-0.20464824,0.18510853,-0.36752546,-0.1052913,0.026652172,0.32409117,-0.2735957,-0.018870443,-0.7352613,0.04897915,-0.055361766,0.24744509,1.0557243,-0.19602454,-2.3142905,-0.06426979,-0.23670287,1.4576879,0.5464969,-0.08842349,0.73490596,-0.2554483,0.14463967,0.6865159,-0.07775091,0.4947183,0.3025374,0.061247826,-0.21224111,-0.008105955,-0.33349264,-0.050466917,-0.28877193,0.15446147,0.039765544,-0.17801307,-0.059462547,-0.8528861,0.037288003,0.5034445,0.08077278,-0.46481642,0.14146468,-1.3359296,-0.23903356,0.16536604,-0.10625063,-0.16306902,-0.40494475,-0.080280356,-0.18837924,-0.0837571,0.0539172,-0.4906897,-0.07339449,-0.20524126,-0.27762368,0.39376256,0.17318499
-0.051576253,0.045715228,0.33239606,-0.14607793,-0.111001454,0.23572455,-0.21840583,0.15510267,-0.07510325,0.029308872,0.051266562,0.1095419,0.23981148,0.0041742604,0.09846451,-0.31443208,0.17833406,0.13297135,-0.47167057,0.20357046,0.17160143,-0.110842735,0.14483285,-0.046292644,0.16958232,-0.019563938,-0.21411343,-0.5060257,0.20007032,-0.114834785,-0.077047154,0.44197255,0.02661045,0.14783138,-0.11147126,0.36720872,-0.012184439,0.21842694,0.009209891,-0.11548739,-0.46996233,-0.13563389,0.223077,-0.4081487,-0.22918516,0.01378141,0.1952861,-0.35671774,-0.004225,-0.7556764,0.0012253311,-0.045196667,0.30660686,1.0364038,-0.23727782,-2.22936,0.0038860913,-0.2681229,1.3055677,0.46289313,-0.04635183,0.6967839,-0.2741479,0.14921252,0.6759173,-0.105108134,0.5152432,0.37019026,0.0316497,-0.16742407,-0.0074578025,-0.27352896,-0.07354978,-0.45344564,0.16257237,0.14730902,-0.19020446,-0.04509512,-0.78412044,-0.03701313,0.4846562,0.07327984,-0.36991858,0.07304391,-1.3110739,-0.33936557,0.08614972,-0.058283925,-0.21580376,-0.40178913,-0.05340288,-0.17772213,-0.018189503,0.10143619,-0.43082568,-0.07107517,-0.21080014,-0.26299316,0.33495957,0.193206
-0.047387183,0.24009158,0.3128226,-0.20112227,-0.045448437,0.2768551,-0.14883469,0.19587043,-0.12607244,-0.0021180627,0.07149522,0.039738964,0.25468296,0.117991425,0.07961977,-0.27714738,0.15689637,0.08600154,-0.3252574,0.23884995,0.14406441,0.055478856,0.18676512,-0.05313004,0.26202366,-0.043663815,-0.16278912,-0.5182977,0.11057176,-0.10221788,-0.15559337,0.44616947,0.027051494,0.06739217,-0.009630683,0.29503766,0.060996868,0.2423593,-0.0057861824,-0.23951495,-0.3142897,-0.22119278,0.13678992,-0.3179088,-0.15469581,-0.054099612,0.2338976,-0.31514958,0.056300145,-0.6993918,0.015557568,-0.13318644,0.24982074,0.92327005,-0.2881564,-2.251613,-0.054760862,-0.115204334,1.2202502,0.5412924,-0.003286526,0.774008,-0.3122372,0.10381859,0.61060846,-0.07867347,0.5651911,0.33708018,0.08935667,-0.17858519,0.017104326,-0.25005883,-0.005197789,-0.31762412,0.124487646,0.105017364,-0.11035852,-0.026774457,-0.69551295,-0.109402776,0.49776867,-0.043753773,-0.39833897,0.11021054,-1.3480138,-0.24915324,0.024335342,-0.17204183,-0.2002036,-0.35000008,-0.06330433,-0.2104294,-0.0012900644,0.15737519,-0.4645965,0.010814997,-0.3190406,-0.36124405,0.39043167,0.27191994
0.045816656,0.059037413,0.31608275,-0.13619448,-0.02301782,0.31029877,-0.13460545,0.16177814,-0.1840589,0.0565347,-0.008496168,0.060212202,0.19578995,0.05843997,0.117268555,-0.24913032,0.18550207,0.014039766,-0.3021008,0.15982056,0.205993,-0.07051204,0.24439593,0.04518618,0.2485747,-0.086657465,-0.14519009,-0.44800568,0.13275142,-0.113485746,-0.038778387,0.3776022,0.07007663,0.10855598,-0.12745066,0.29155055,0.046114214,0.24829462,-0.019597486,-0.11440609,-0.4013426,-0.1935531,0.20878933,-0.24166276,-0.045698795,-0.0008343563,0.20399068,-0.24240047,0.057147652,-0.6415174,-0.08121593,-0.057521753,0.25370842,0.98769385,-0.21859619,-2.1997402,-0.042929366,-0.22067145,1.2101003,0.47148436,-0.045435563,0.7516638,-0.15855402,0.17074381,0.49930188,-0.067669444,0.44582334,0.23643565,0.1284745,-0.06691997,-0.07035141,-0.13110338,-0.09633949,-0.3683128,0.11671479,0.1982218,-0.18651527,-0.10133083,-0.7421233,-0.023590796,0.4791046,0.12514672,-0.25440416,0.18925263,-1.1896955,-0.3183911,0.008636196,-0.11881502,-0.14396325,-0.31168625,-0.026176311,-0.1317248,-0.04991188,0.2677965,-0.48883188,-0.06007399,-0.2863728,-0.24743518,0.42109722,0.17431788
-0.053052284,0.18150485,0.2926369,-0.28862038,-0.1709434,0.22963855,-0.1265739,0.21819064,-0.037059214,-0.07251415,0.19014113,0.054596882,0.26213863,0.11299604,0.10814626,-0.28822708,0.14254187,0.21805736,-0.5171132,0.24143437,0.15913992,0.12871867,0.16579933,-0.12740731,0.1796898,0.04600251,-0.18561324,-0.53666544,0.27697885,-0.21595266,-0.11943052,0.50454634,0.044386532,0.099778436,-0.00582879,0.35439432,-0.08167238,0.22390026,0.101474606,-0.17166589,-0.40202782,-0.19515647,0.1354182,-0.4120252,-0.25336736,-0.030189982,0.14282408,-0.29431322,0.021911267,-0.8229465,0.008307371,-0.05212479,0.17109264,0.9496684,-0.2335913,-2.2424648,-0.03212453,-0.12134267,1.3525684,0.50153124,-0.063050725,0.79826546,-0.3377081,0.062922955,0.65822273,-0.03252686,0.5234054,0.42326355,-0.0020754207,-0.12390068,0.02685055,-0.26854017,0.0014053737,-0.4976073,0.1241934,0.08135838,-0.11977348,-0.00031530985,-0.6496901,-0.08785098,0.5547162,-0.0049342876,-0.48924634,0.095058665,-1.2829963,-0.23580764,0.014410473,-0.16793993,-0.25901946,-0.36680654,-0.02329109,-0.19400981,0.03978147,0.103529826,-0.49471283,-0.015191537,-0.13977458,-0.24790986,0.37262896,0.22303453
